timestamp,temperature,temperature_class,humidity,humidity_class
775436625,24.2,ambiante,59.5,confortable
775436629,24.2,ambiante,60.4,confortable
775436632,24.2,ambiante,60.1,confortable
775436636,24.1,ambiante,60.4,confortable
775436640,24,ambiante,60.6,confortable
775436643,24,ambiante,60.8,confortable
775436647,24,ambiante,61.1,confortable
775436650,23.9,ambiante,61,confortable
775436654,23.9,ambiante,61.2,confortable
775436658,23.8,ambiante,61.5,confortable
775436661,23.8,ambiante,61.7,confortable
775436665,23.8,ambiante,61.9,confortable
775436668,23.7,ambiante,62,confortable
775436672,23.7,ambiante,62.2,confortable
775436676,23.6,ambiante,62.3,confortable
775436679,23.6,ambiante,62.6,confortable
775436683,23.6,ambiante,62.7,confortable
775436686,23.5,ambiante,62.6,confortable
775436690,23.5,ambiante,62.6,confortable
775436694,23.5,ambiante,62.7,confortable
775436697,23.4,ambiante,62.7,confortable
775436701,23.4,ambiante,62.9,confortable
775436704,23.3,ambiante,63,confortable
775436708,23.3,ambiante,62.8,confortable
775436712,23.3,ambiante,62.9,confortable
775436715,23.2,ambiante,63,confortable
775436719,23.2,ambiante,63.1,confortable
775436722,23.2,ambiante,63.4,confortable
775436726,23.1,ambiante,63.4,confortable
775436730,23.1,ambiante,63.6,confortable
775436733,23.1,ambiante,63.6,confortable
775436737,23,ambiante,63.7,confortable
775436740,23,ambiante,63.9,confortable
775436744,23,ambiante,64,confortable
775436748,22.9,ambiante,64.1,confortable
775436751,22.9,ambiante,64.3,confortable
775436755,22.9,ambiante,64.5,confortable
775436758,22.8,ambiante,64.6,confortable
775436762,22.8,ambiante,64.8,confortable
775436766,22.8,ambiante,65.1,confortable
775436769,22.8,ambiante,65.3,confortable
775436773,22.7,ambiante,65.5,confortable
775436776,22.7,ambiante,65.6,confortable
775436780,22.7,ambiante,65.8,confortable
775436784,22.6,ambiante,65.9,confortable
775436787,22.6,ambiante,66.1,confortable
775436791,22.6,ambiante,66.1,confortable
775436794,22.6,ambiante,66.1,confortable
775436798,22.6,ambiante,66.3,confortable
775436802,22.5,ambiante,66.4,confortable
775436805,22.5,ambiante,66.5,confortable
775436809,22.5,ambiante,66.7,confortable
775436812,22.5,ambiante,66.9,confortable
775436816,22.5,ambiante,67.1,confortable
775436820,22.4,ambiante,67.2,confortable
775436823,22.4,ambiante,67.3,confortable
775436827,22.4,ambiante,67.3,confortable
775436830,22.4,ambiante,67.4,confortable
775436834,22.3,ambiante,67.4,confortable
775436838,22.4,ambiante,67.5,confortable
775436841,22.3,ambiante,67.6,confortable
775436845,22.3,ambiante,67.8,confortable
775436848,22.3,ambiante,68,confortable
775436852,22.3,ambiante,68,confortable
775436856,22.2,ambiante,68,confortable
775436859,22.2,ambiante,68,confortable
775436863,22.2,ambiante,68,confortable
775436866,22.2,ambiante,68.2,confortable
775436870,22.2,ambiante,68.3,confortable
775436874,22.2,ambiante,68.3,confortable
775436877,22.1,ambiante,68.2,confortable
775436881,22.1,ambiante,68.2,confortable
775436884,22.1,ambiante,68.3,confortable
775436888,22.1,ambiante,68.3,confortable
775436892,22.1,ambiante,68.2,confortable
775436895,22.1,ambiante,68.3,confortable
775436899,22,ambiante,68.3,confortable
775436902,22.1,ambiante,68.5,confortable
775436906,22,ambiante,68.4,confortable
775436910,22,ambiante,68.4,confortable
775436913,22,ambiante,68.4,confortable
775436917,22,ambiante,68.6,confortable
775436920,22,ambiante,68.7,confortable
775436924,22,ambiante,68.9,confortable
775436928,22,ambiante,69,confortable
775436931,21.9,ambiante,69,confortable
775436935,21.9,ambiante,69,confortable
775436938,21.9,ambiante,69.1,confortable
775436942,21.9,ambiante,69.2,confortable
775436946,21.9,ambiante,69.2,confortable
775436949,21.9,ambiante,69.1,confortable
775436953,21.9,ambiante,69,confortable
775436956,21.9,ambiante,69.2,confortable
775436960,21.8,ambiante,69.2,confortable
775436963,21.9,ambiante,69.2,confortable
775436967,21.8,ambiante,69.1,confortable
775436971,21.8,ambiante,69.1,confortable
775436974,21.8,ambiante,69.1,confortable
775436978,21.8,ambiante,69.2,confortable
775436981,21.8,ambiante,69.3,confortable
775436985,21.8,ambiante,69.3,confortable
775436989,21.8,ambiante,69.3,confortable
775436992,21.8,ambiante,69.4,confortable
775436996,21.7,ambiante,69.4,confortable
775436999,21.7,ambiante,69.5,confortable
775437003,21.8,ambiante,69.5,confortable
775437007,21.7,ambiante,69.5,confortable
775437010,21.7,ambiante,69.7,confortable
775437014,21.7,ambiante,69.7,confortable
775437017,21.7,ambiante,69.7,confortable
775437021,21.7,ambiante,69.7,confortable
775437025,21.7,ambiante,69.8,confortable
775437028,21.7,ambiante,69.8,confortable
775437032,21.7,ambiante,70,confortable
775437035,21.7,ambiante,70.2,confortable
775437039,21.7,ambiante,70.3,confortable
775437043,21.6,ambiante,70.2,confortable
